comment_id,video_id,text_original,text_final
UgybPPvBz3FIUKh4H514AaABAg,7CLZkPwhEG4,"Prabowo benar benar tidak cerdas dan silau kekuasaan. Petinggi petinggi Partai Politik Fiktif diangkat jadi Menteri dan Wamen. Mereka itu tidak jelas basis ideologi dan aspirasinya. Tetapi dapat posisi. Parahnya lagi petinggi partai politik fiktif ikut mengatur urusan orang banyak. Di satu sisi rakyat diinjak injak. Prabowo Prabowo... Tipe Pemimpin Bodoh dan Terlena dengan Ilusi.

Ada senior politik bilang. Seandainya Pemilu 2024 Prabowo kalah, maka Stress lah Prabowo itu. Lha kok sekarang sudah jadi Presiden Terlihat Gila dan Stres nya",prabowo benar benar tidak cerdas silau kekuasaan petinggi petinggi partai politik fiktif diangkat jadi menteri wamen tidak jelas basis ideologi aspirasinya posisi parahnya petinggi partai politik fiktif ikut mengatur urusan orang banyak satu sisi rakyat diinjak injak prabowo prabowo tipe pemimpin bodoh terlena ilusi senior politik bilang seandainya pemilu 2024 prabowo kalah stress prabowo kok sekarang jadi presiden terlihat gila stres
UgzBAC-N_aVQjiH-FOF4AaABAg,7CLZkPwhEG4,"Dapat Di Ambil Kesimpulan. UU TNI Bisa Cepat Di Sahkan Atas Perintah Presiden... 
Lah UU Perampasan Aset Kenapa Gak Bisa Secepat itu juga..",ambil kesimpulan uu_tni cepat sahkan atas perintah presiden uu_perampasan_aset tidak secepat
UgyV7l2ew4E-RHNl0x94AaABAg,7CLZkPwhEG4,Jangan lagi pilih pemimpin yg berasal dari militer karn sangat membahayakan rakyat sipil,jangan pilih pemimpin berasal militer karn sangat membahayakan rakyat sipil
UgxDqvzAry6hFa069QN4AaABAg,7CLZkPwhEG4,"Cemen amat lo tong, gua lahir 84 sudah 7 kali lihat orang di bawak petrus",cemen amat kamu tong lahir kali lihat orang bawak petrus
UgxjkeJjE5S8WlrgJO94AaABAg,7CLZkPwhEG4,"Apakah tujuannya berbagi lahan ?? Perijinan, Pengesahan, Perpajakan ????",tujuannya berbagi lahan perijinan pengesahan perpajakan
UgyW6Urfxd3KxhQgDsV4AaABAg,7CLZkPwhEG4,"Terserah pemerintah saja, kan pilihan saya beda waktu pemilu.... nikmati saja pilihan kalian.",terserah pemerintah pilihan beda waktu pemilu nikmati pilihan kalian
Ugya-pRsDI_5rI7q7nh4AaABAg,7CLZkPwhEG4,"Jabatan menteri itu kan emang hak presiden mau di kasi ke siapa saja yang dia mau , 
Tapi kalo malah bikin negara ini amburadul kacau siap2 aja",jabatan menteri memang hak presiden mau kasi siapa mau kalau malah bikin negara amburadul kacau siap siap
UgzdR_rjJxcNVGhKiwp4AaABAg,7CLZkPwhEG4,Jangan lupa dan perlu dicatat Parpol yg jd leader utk mempercepat pengesahan revisi RUU TNI adalah PDIPerjuangan. Partainya si emak banteng 😂😂😂😂,jangan lupa perlu dicatat parpol jadi leader mempercepat pengesahan revisi ruu_tni pdiperjuangan partainya emak banteng emo_laugh
Ugx2ls8l8p_UhOCgObp4AaABAg,7CLZkPwhEG4,kok polisi dibiarkan dilibatkan dalam jabatan sipil. daripada polisi dilibatkan bagusan TNI dilibatkan pada jabatan sipil,kok polisi dibiarkan dilibatkan jabatan sipil polisi dilibatkan bagusan tni dilibatkan jabatan sipil
Ugwg_e-tTVyhV95JYmV4AaABAg,7CLZkPwhEG4,"Aku dah ga percaya sipil lagi sih, maaf, terlalu banyak korupsinya. Yang merugikan negara kuadriliun dan triliunan, atau yang banyak di lapas koruptor itu siapa sekarang? Orang sipil semua kan? Yang membuat daerah kita ga berkembang gitu-gitu aja sipil juga kan?",aku tidak percaya sipil maaf terlalu banyak korupsinya merugikan negara kuadriliun triliunan banyak lapas koruptor siapa sekarangi orang sipil semua kani membuat daerah tidak berkembang sipil kani
UgxwMYa_vHYzoSZIxq54AaABAg,7CLZkPwhEG4,Aku setuju. Asalkan polisi d hapuskan,aku setuju asalkan polisi hapuskan
UgzJ6NTrCYUBa9HQA0F4AaABAg,7CLZkPwhEG4,Banyak ruu yg lain yg lebih penting seperti hukuman mati pada koruptor daripada urusan sepele,banyak ruu lebih penting hukuman mati koruptor urusan sepele
Ugw4OKcSWu8_dMMbMm54AaABAg,7CLZkPwhEG4,Kalau ngotot merevisi pasti ada apa apanya😆😆,kalau ngotot merevisi apa apanya emo_laugh
UgwHNXtEd3lynatT91V4AaABAg,7CLZkPwhEG4,Jelek DPR banyak koruptor,jelek dpr banyak koruptor
UgzZpOKtQuvogqPbfn54AaABAg,7CLZkPwhEG4,Keliatannya warga sipil sedang di adu sama TNI.,keliatannya warga sipil sedang adu sama tni
Ugz0Z7kexWbt6KvFLTN4AaABAg,7CLZkPwhEG4,Say rasa masyarakat lebih aman bersama TNI,say rasa masyarakat lebih aman bersama tni
UgyNrh9QXqUMSIv-jG54AaABAg,7CLZkPwhEG4,"Lagi bingung2 cari kerja
Ini malah jadi pusing",bingung bingung cari kerja malah jadi pusing
UgxwHwDASFvg2qQgONN4AaABAg,7CLZkPwhEG4,"Yang pro reformasi dan Polisi pasti menolak , gw tetap dukung TNI 🇮🇩",pro reformasi polisi menolak tetap dukung tni emo_other
Ugy6go9exR2x4Q3Q-694AaABAg,7CLZkPwhEG4,Bingung katanya pak Prabowo semua demi rakyat,bingung katanya prabowo semua rakyat
Ugx3Ck8ZAdnp1PqYP354AaABAg,7CLZkPwhEG4,Hahaha.. Pegawai Sipil susah gerak susah korup tipis2 ada mata2 tni,pegawai sipil susah gerak susah korup tipis tipis mata mata tni
Ugw-SXFZRlRYXWulyIp4AaABAg,7CLZkPwhEG4,Jogetin aja oke gas oke gas pal pale pale,jogetin baik gas baik gas pal pale pale
Ugyf6GLsBsHlaUPhIbV4AaABAg,7CLZkPwhEG4,Alhamdulillah sah uunya,syukur sah uunya
UgxE8zuf7yi51YKbQUx4AaABAg,7CLZkPwhEG4,Semoga dgn bolehnya tni berpolitik bisa mengurangi koruptor di negri ini karena saya yakin tni punya cinta yg begitu besar buat negri ini,semoga bolehnya tni berpolitik mengurangi koruptor negeri yakin tni punya cinta besar buat negeri
